name,faction,parent,branch,gen
CONTROLBAR:ConstructMenFarm,men,,basic,0
CONTROLBAR:ConstructMenBarracks,men,,basic,0
CONTROLBAR:ConstructGondorFighterHorde,men,CONTROLBAR:ConstructMenBarracks,basic,1
CONTROLBAR:ToggleBlockFormation,men,CONTROLBAR:ConstructGondorFighterHorde,basic,2
CONTROLBAR:ToggleLineFormation,men,CONTROLBAR:ConstructGondorFighterHorde,basic,2
CONTROLBAR:PurchaseUpgradeGondorForgedBlades,men,CONTROLBAR:ConstructGondorFighterHorde,basic,2
CONTROLBAR:PurchaseUpgradeGondorHeavyArmor,men,CONTROLBAR:ConstructGondorFighterHorde,basic,2
CONTROLBAR:PurchaseUpgradeGondorBasicTraining,men,CONTROLBAR:ConstructGondorFighterHorde,basic,2
CONTROLBAR:ConstructGondorShieldGuardHorde,men,CONTROLBAR:ConstructMenBarracks,basic,1
CONTROLBAR:TogglePorcupineFormation,men,CONTROLBAR:ConstructGondorShieldGuardHorde,basic,2
CONTROLBAR:ToggleLineFormation,men,CONTROLBAR:ConstructGondorShieldGuardHorde,basic,2
CONTROLBAR:PurchaseUpgradeGondorForgedBlades,men,CONTROLBAR:ConstructGondorShieldGuardHorde,basic,2
CONTROLBAR:PurchaseUpgradeGondorHeavyArmor,men,CONTROLBAR:ConstructGondorShieldGuardHorde,basic,2
CONTROLBAR:PurchaseUpgradeGondorBasicTraining,men,CONTROLBAR:ConstructGondorShieldGuardHorde,basic,2
CONTROLBAR:PurchaseTechnologyGondorBasicTraining,men,CONTROLBAR:ConstructMenBarracks,basic,1
CONTROLBAR:ConstructGondorBarracks2Upgrade,men,CONTROLBAR:ConstructMenBarracks,basic,1
CONTROLBAR:ConstructGondorBarracksLevel3Upgrade,men,CONTROLBAR:ConstructMenBarracks,basic,1
CONTROLBAR:ConstructMenArcheryRange,men,,basic,0
CONTROLBAR:ConstructGondorArcherHorde,men,CONTROLBAR:ConstructMenArcheryRange,basic,1
CONTROLBAR:ArcherBarrage,men,CONTROLBAR:ConstructGondorArcherHorde,basic,2
CONTROLBAR:FireArrowUpgrade,men,CONTROLBAR:ConstructGondorArcherHorde,basic,2
CONTROLBAR:PurchaseUpgradeGondorHeavyArmor,men,CONTROLBAR:ConstructGondorArcherHorde,basic,2
CONTROLBAR:PurchaseUpgradeGondorBasicTraining,men,CONTROLBAR:ConstructGondorArcherHorde,basic,2
CONTROLBAR:ConstructGondorRangerHorde,men,CONTROLBAR:ConstructMenArcheryRange,basic,1
CONTROLBAR:ArcherBarrage,men,CONTROLBAR:ConstructGondorRangerHorde,basic,2
CONTROLBAR:FireArrowUpgrade,men,CONTROLBAR:ConstructGondorRangerHorde,basic,2
CONTROLBAR:MenLongShotAbility,men,CONTROLBAR:ConstructGondorRangerHorde,basic,2
CONTROLBAR:PurchaseUpgradeGondorBasicTraining,men,CONTROLBAR:ConstructGondorRangerHorde,basic,2
